"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"21827","SOLARY","blue","oaly.",8,5,4,14,2039,2,0,2.19856600128811
"21828","SOLARY","blue","Mikeboy",3,2,4,10,1169,4,3,1.0476602615969
"21829","SOLARY","blue","ThO.",3,4,8,10,1554,0,2,1.57348462972126
"21830","ODYSSEY ESPORTS","orange","Rexo",1,1,6,8,939,0,1,0.827657801636089
"21831","ODYSSEY ESPORTS","orange","ejby",1,0,3,5,616,1,3,0.473423735149636
"21832","ODYSSEY ESPORTS","orange","creamyy",0,1,5,7,834,4,2,0.549917809265153
"21833","MISFITS GAMING","blue","Kash",4,5,3,13,1799,4,3,1.36975454272124
"21834","MISFITS GAMING","blue","arju",4,3,2,9,1414,2,7,1.21180422855231
"21835","MISFITS GAMING","blue","Mittaen",5,3,6,14,1602,4,5,1.34002762195081
"21836","JUICERS","orange","juicy",3,4,9,8,1917,10,6,1.18758160017353
"21837","JUICERS","orange","Forece",3,1,4,5,1282,3,2,0.813765676424192
"21838","JUICERS","orange","parka",3,3,6,10,1588,2,2,1.0954127657219
"21839","00 NATION","blue","hibbs",3,3,2,11,1102,0,7,1.17526853718975
"21840","00 NATION","blue","Breezi",4,1,6,13,1421,9,4,1.26422342661812
"21841","00 NATION","blue","FlamE",3,3,1,12,1039,3,3,1.23626130806528
"21842","E-GIRLS HUNTERS","orange","kuxir97",2,3,4,7,1155,4,2,1.17643465777705
"21843","E-GIRLS HUNTERS","orange","Davoof",2,0,7,5,1302,7,3,0.98136287233503
"21844","E-GIRLS HUNTERS","orange","Dead-Monster",1,0,8,3,997,3,7,0.767198208224085
"21845","TEAM LIQUID","blue","Atow.",8,5,8,25,2541,7,8,1.608137517256
"21846","TEAM LIQUID","blue","Oski",5,2,6,19,1885,2,6,1.14165006167278
"21847","TEAM LIQUID","blue","AcroniK.",1,7,6,22,1863,6,6,1.02063643057706
"21848","AOGIRI","orange","Oscillon",6,2,13,11,2364,9,5,1.32172655767127
"21849","AOGIRI","orange","Stizzy",1,8,13,8,2426,3,5,1.16109067507052
"21850","AOGIRI","orange","VKSailen",7,2,15,21,2689,8,5,1.44462831738104
"21851","GUILD ESPORTS","blue","crr",1,3,5,11,1323,3,7,0.825428003105964
"21852","GUILD ESPORTS","blue","Deevo",3,2,6,11,1522,8,6,1.22332096818992
"21853","GUILD ESPORTS","blue","Dorito",4,2,6,8,1533,3,6,1.1877808997841
"21854","NATUS VINCERE","orange","LuiisP",2,5,6,11,1563,6,3,1.07345992120404
"21855","NATUS VINCERE","orange","virtuoso",5,3,6,17,1767,6,7,1.21767549720043
"21856","NATUS VINCERE","orange","Tigreee",5,3,8,12,1974,7,4,1.32268805037094
"21857","WILLIAMS RESOLVE","blue","Stake",4,4,11,11,2520,5,8,1.52726532942934
"21858","WILLIAMS RESOLVE","blue","saizen",5,2,11,12,2172,8,5,1.39227486406378
